siren,dep
200041044,07
200041366,07
200041465,07
200043917,07
240700286,07
240700302,07
240700310,07
240700328,07
240700336,07
240700575,07
240700617,07
240700625,07
240700641,07
240700666,07
240700674,07
240700708,07
240700716,07
240700724,07
240700740,07
240700757,07
240700765,07
240700773,07
240700781,07
240700799,07
240700807,07
240700815,07
240700823,07
240700831,07
240700849,07
240700856,07
240700864,07
240700872,07
240700880,07
242600484,07
242600625,07
242600674,07
200026318,08
200041606,08
200041622,08
200041630,08
200043156,08
240800821,08
240800839,08
240800847,08
240800854,08
240800862,08
240800870,08
240800904,08
240800920,08
240800946,08
240800953,08
240800961,08
240800979,08
240800987,08
240800995,08
240801001,08
240801019,08
200044469,09
240900266,09
240900316,09
240900324,09
240900332,09
240900357,09
240900373,09
240900381,09
240900407,09
240900415,09
240900423,09
240900431,09
240900449,09
240900456,09
240900464,09
240900472,09
240900480,09
240900498,09
240900506,09
240900522,09
240900530,09
240900555,09
200000545,10
200006716,10
200022846,10
200023273,10
200027035,10
200040137,10
241000116,10
241000223,10
241000256,10
241000264,10
241000280,10
241000363,10
241000371,10
241000389,10
241000397,10
241000405,10
241000413,10
241000421,10
241000439,10
241000447,10
241000454,10
241000462,10
241000470,10
241000488,10
241000496,10
251000832,10
200035707,11
200035715,11
200035855,11
200035863,11
200035871,11
200042463,11
200043487,11
200043776,11
241100304,11
241100312,11
241100320,11
241100338,11
241100346,11
241100353,11
241100361,11
241100379,11
241100411,11
241100429,11
241100437,11
241100445,11
241100452,11
241100460,11
241100478,11
241100486,11
241100494,11
241100510,11
241100528,11
241100536,11
241100544,11
241100551,11
241100569,11
241100577,11
241100585,11
241100593,11
241100601,11
241100619,11
241100627,11
241100643,11
243100567,11
246600407,11
200000735,12
200000867,12
200006070,12
200023216,12
200042828,12
241200054,12
241200187,12
241200542,12
241200567,12
241200583,12
241200591,12
241200609,12
241200617,12
241200625,12
241200633,12
241200641,12
241200658,12
241200666,12
241200674,12
241200690,12
241200716,12
241200724,12
241200732,12
241200765,12
241200773,12
241200781,12
241200799,12
241200807,12
241200815,12
241200823,12
241200831,12
241200849,12
241200856,12
241200864,12
241200872,12
241200880,12
241200906,12
241200914,12
244600466,12
200035087,13
200054807,13
241300177,13
241300201,13
241300268,13
241300276,13
241300375,13
241300383,13
241300391,13
241300409,13
241300417,13
200026185,14
200033124,14
200033157,14
241400381,14
241400415,14
241400498,14
241400514,14
241400522,14
241400530,14
241400548,14
241400555,14
241400589,14
241400613,14
241400621,14
241400639,14
241400647,14
241400662,14
241400670,14
241400688,14
241400696,14
241400704,14
241400712,14
241400720,14
241400738,14
241400746,14
241400753,14
241400761,14
241400779,14
241400787,14
241400795,14
241400803,14
241400811,14
241400829,14
241400837,14
241400845,14
241400860,14
241400878,14
241400886,14
241400894,14
241400902,14
241400910,14
200006781,15
200043164,15
200043909,15
241500230,15
241500248,15
241500255,15
241500263,15
241500271,15
241500289,15
241500297,15
241500917,15
241501014,15
241501022,15
241501030,15
241501048,15
241501055,15
241501063,15
241501071,15
241501089,15
241501097,15
241501139,15
241900117,15
200012136,16
200029734,16
200042927,16
200043016,16
241600253,16
241600303,16
241600329,16
241600337,16
241600345,16
241600352,16
241600360,16
241600378,16
241600386,16
241600394,16
241600402,16
241600410,16
241600428,16
241600436,16
241600451,16
241600469,16
241600493,16
241600501,16
241600519,16
241600527,16
241600535,16
241600543,16
241600568,16
241600592,16
200036473,17
200041499,17
200041523,17
200041614,17
200041689,17
200041762,17
241700392,17
241700400,17
241700434,17
241700459,17
241700467,17
241700475,17
241700483,17
241700491,17
241700509,17
241700517,17
241700525,17
241700533,17
241700566,17
241700574,17
241700582,17
241700608,17
241700616,17
241700624,17
241700632,17
241700640,17
241700657,17
241700681,17
241700699,17
241700707,17
241773043,17
200000933,18
200007177,18
200011781,18
200017788,18
200017853,18
200017861,18
200017879,18
200022515,18
200027001,18
200027076,18
200032514,18
200033207,18
200035939,18
200036135,18
200049484,18
241800218,18
241800226,18
241800234,18
241800325,18
241800341,18
241800358,18
241800366,18
241800374,18
241800390,18
