année,type de zone administrative,nom,population,cog (code officiel géographique),url,dotation globale de fonctionnement,imposition forfaitaire sur les entreprises de réseau - base nette imposée,imposition forfaitaire sur les entreprises de réseau - réductions de bases accordées sur délibérations,imposition forfaitaire sur les entreprises de réseau - taux,imposition forfaitaire sur les entreprises de réseau - produits,cotisation valeur ajoutée des entreprises - base nette imposée,cotisation valeur ajoutée des entreprises - réductions de bases accordées sur délibérations,cotisation valeur ajoutée des entreprises - taux,cotisation valeur ajoutée des entreprises - produits,taxe professionnelle - base nette imposée,taxe professionnelle - réductions de bases accordées sur délibérations,taxe professionnelle - taux,taxe professionnelle - produits,annuité des dettes bancaires et assimilées,encours des dettes bancaires et assimilées,caf nette du remboursement en capital des emprunts,remboursement d'emprunts et dettes assimilées,dépenses d'équipement,fctva,charges financières,= besoin ou capacité de financement de la section d'investissement = e,résultat d'ensemble = r - e,aides à la personne,total des ressources d'investissement budgétaires = c,dépenses d'investissement directes,total des emplois d'investissement = d,taxe foncière sur les propriétés non bâties - base nette imposée,taxe foncière sur les propriétés non bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés non bâties - taux,taxe foncière sur les propriétés non bâties - produits,emprunts bancaires et dettes assimilées,impôts locaux,contributions obligatoires et participations,resultat comptable = a - b = r,total des charges de fonctionnement = b,charges de fonctionnement réelles,produits de fonctionnement réels,total des produits de fonctionnement = a,autres impôts et taxes,subventions d'équipement versées,taxe foncière sur les propriétés bâties - base nette imposée,taxe foncière sur les propriétés bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés bâties - taux,taxe foncière sur les propriétés bâties - produits,achats et charges externes,attributions de péréquation et de compensation,subventions reçues,fiscalité reversée,besoin ou capacité de financement résiduel de la section d'investissement = d - c,capacité d'autofinancement = caf,produits des cessions d'immobilisations,charges de personnel,subventions,subventions et contingents,excédent brut de fonctionnement,solde des opérations pour le compte de tiers,tipce,dotation d'apprentissage et de formation professionnelle,fonds de roulement
2008,region,REGION LIMOUSIN,710939,074,http://alize2.finances.gouv.fr/regions/detail.php?reg=074&exercice=2008,113487000.0,,,,,,,,,966000000.0,,0.040999999999999995,39606000.0,35936000.0,206282000.0,,28614000.0,,3842000.0,7649000.0,-23714000.0,70644000.0,13605000.0,312595000.0,151566000.0,288805000.0,1507000.0,,0.1537,232000.0,77730000.0,62784000.0,125767000.0,46930000.0,280795000.0,0.0,327127000.0,327725000.0,95614000.0,70295000.0,641026000.0,,0.0394,25257000.0,14571000.0,5374000.0,13264000.0,0.0,-23790000.0,,34000.0,44771000.0,63588000.0,205019000.0,,76000.0,67212000.0,23944000.0,
2008,region,REGION RHONE-ALPES,5645407,082,http://alize2.finances.gouv.fr/regions/detail.php?reg=082&exercice=2008,569711000.0,,,,,,,,,12399374000.0,,0.024900000000000002,308740000.0,152016000.0,1221424000.0,,105741000.0,,42090000.0,51554000.0,19180000.0,298672000.0,118553000.0,1358370000.0,275015000.0,1377551000.0,19198000.0,,0.0528,1012000.0,191903000.0,434901000.0,726284000.0,317852000.0,1728437000.0,0.0,1912543000.0,2046289000.0,595366000.0,384375000.0,6827921000.0,,0.0212,144749000.0,108574000.0,9230000.0,46784000.0,0.0,19180000.0,,519000.0,197112000.0,229031000.0,1086017000.0,,0.0,309778000.0,179573000.0,
2008,region,REGION AUVERGNE,1308878,083,http://alize2.finances.gouv.fr/regions/detail.php?reg=083&exercice=2008,146599000.0,,,,,,,,,2146046000.0,,0.0358,76830000.0,50863000.0,492350000.0,,35606000.0,,9906000.0,16680000.0,-2338000.0,139947000.0,13351000.0,334118000.0,94960000.0,331486000.0,3058000.0,,0.10400000000000001,319000.0,84500000.0,118938000.0,118146000.0,137609000.0,407864000.0,0.0,493596000.0,545473000.0,136013000.0,134662000.0,1200343000.0,,0.0454,54494000.0,27587000.0,5979000.0,39924000.0,0.0,-2632000.0,,356000.0,52004000.0,116030000.0,250752000.0,,295000.0,82650000.0,50173000.0,
2008,region,REGION LANGUEDOC-ROUSSILLON,2295648,091,http://alize2.finances.gouv.fr/regions/detail.php?reg=091&exercice=2008,222147000.0,,,,,,,,,2745849000.0,,0.042199999999999994,115873000.0,43248000.0,468190000.0,,25655000.0,,20499000.0,19344000.0,24565000.0,231339000.0,26732000.0,537414000.0,234904000.0,561979000.0,10450000.0,,0.0537,559000.0,65000000.0,215964000.0,109171000.0,255903000.0,569030000.0,0.0,823532000.0,824933000.0,241701000.0,166751000.0,2473737000.0,,0.04769999999999999,117994000.0,80303000.0,10095000.0,23799000.0,0.0,24565000.0,,1230000.0,88098000.0,218271000.0,359270000.0,,0.0,136439000.0,88288000.0,
2008,region,REGION PROVENCE-ALPES-COTE-D'AZUR,4506151,093,http://alize2.finances.gouv.fr/regions/detail.php?reg=093&exercice=2008,400668000.0,,,,,,,,,7309965000.0,,0.0384,280709000.0,400856000.0,1491064000.0,,333681000.0,,39289000.0,75143000.0,-436000.0,308973000.0,54774000.0,1368272000.0,142135000.0,1366948000.0,26642000.0,,0.0885,2361000.0,419412000.0,368221000.0,197963000.0,308537000.0,1317974000.0,0.0,1462222000.0,1626511000.0,449046000.0,349029000.0,5714740000.0,,0.0236,134872000.0,128575000.0,11181000.0,35415000.0,0.0,-1324000.0,,0.0,170051000.0,492935000.0,754056000.0,,888000.0,203266000.0,154957000.0,
2008,region,COLLECTIVITE TERRITORIALE DE CORSE,260196,094,http://alize2.finances.gouv.fr/regions/detail.php?reg=094&exercice=2008,31863000.0,,,,,,,,,0.0,,0.0,0.0,15316000.0,324415000.0,,6130000.0,,20986000.0,9186000.0,-9761000.0,142407000.0,2710000.0,275153000.0,115571000.0,265299000.0,1463000.0,,0.062400000000000004,91000.0,29000000.0,2975000.0,260500000.0,132646000.0,385100000.0,0.0,504026000.0,517746000.0,145406000.0,84288000.0,282410000.0,,0.0102,2880000.0,20670000.0,12982000.0,52231000.0,0.0,-9853000.0,,439000.0,40488000.0,33198000.0,298717000.0,,92000.0,35412000.0,12331000.0,
2009,region,REGION GUADELOUPE,400736,101,http://alize2.finances.gouv.fr/regions/detail.php?reg=101&exercice=2009,15015000.0,,,,,,,,,413313000.0,446000.0,0.025,10331000.0,28560000.0,220367000.0,,23795000.0,,3756000.0,4766000.0,-20963000.0,73100000.0,14144000.0,232183000.0,121191000.0,211220000.0,0.0,0.0,0.0,0.0,0.0,19758000.0,22297000.0,52138000.0,202912000.0,0.0,252896000.0,255050000.0,157636000.0,58184000.0,268432000.0,0.0,0.039,10469000.0,33570000.0,483000.0,50455000.0,0.0,-20963000.0,,0.0,42172000.0,38114000.0,76871000.0,,0.0,0.0,32822000.0,
2009,region,REGION MARTINIQUE,397732,103,http://alize2.finances.gouv.fr/regions/detail.php?reg=103&exercice=2009,21126000.0,,,,,,,,,445672000.0,0.0,0.0194,8650000.0,0.0,37000.0,,0.0,,22741000.0,0.0,-2429000.0,101370000.0,8642000.0,151129000.0,83395000.0,148699000.0,1364000.0,0.0,0.0371,51000.0,0.0,19972000.0,43705000.0,98941000.0,124056000.0,0.0,222997000.0,222997000.0,133160000.0,63990000.0,281220000.0,0.0,0.0388,10911000.0,20997000.0,547000.0,39198000.0,0.0,-2429000.0,,0.0,31785000.0,16258000.0,70735000.0,,0.0,0.0,16577000.0,
2009,region,REGION GUYANE,205954,102,http://alize2.finances.gouv.fr/regions/detail.php?reg=102&exercice=2009,5605000.0,,,,,,,,,214720000.0,0.0,0.023399999999999997,5024000.0,8512000.0,139968000.0,,4886000.0,,3767000.0,3625000.0,643000.0,26741000.0,813000.0,103094000.0,86195000.0,103736000.0,1579000.0,0.0,0.0325,51000.0,58003000.0,8621000.0,9777000.0,27384000.0,66490000.0,0.0,93874000.0,93874000.0,54485000.0,11631000.0,86402000.0,0.0,0.042699999999999995,3689000.0,12503000.0,145000.0,21545000.0,0.0,643000.0,,0.0,15936000.0,22469000.0,34304000.0,,0.0,0.0,10051000.0,
2009,region,REGION REUNION,781962,104,http://alize2.finances.gouv.fr/regions/detail.php?reg=104&exercice=2009,27994000.0,,,,,,,,,744887000.0,153000.0,0.023,17131000.0,155188000.0,390533000.0,,143127000.0,,128675000.0,13014000.0,60479000.0,100628000.0,22819000.0,647614000.0,309355000.0,705900000.0,3652000.0,0.0,0.009000000000000001,33000.0,200000000.0,30979000.0,22475000.0,161107000.0,279019000.0,0.0,419599000.0,440125000.0,258537000.0,46366000.0,512936000.0,0.0,0.026600000000000002,13645000.0,27862000.0,2088000.0,68074000.0,0.0,58286000.0,,25000.0,57877000.0,102239000.0,151437000.0,,2193000.0,0.0,37571000.0,
